YTD Jun FY22,"NortheastCorridorAccount","NationalNetworkAccount",Total
Financial Sources,,,
Operating Sources (A),"1,022,364","1,021,020","2,043,384"
Capital Sources,"211,468","133,136","344,604"
Federal Grants to Amtrak,"447,491","714,015","1,161,506"
Total Operating and Capital Sources,"1,681,324","1,868,171","3,549,495"
"",,,
Financial Uses (Operating):,,,
Operating Uses (B),"1,127,832","1,640,032","2,767,864"
"",,,
"Operating Surplus/Deficit (A-B)(Operating Sources - Operating Uses)","(105,468)","(619,012)","(724,480)"
"",,,
Financial Uses (Debt Service Payments):,,,
Debt Service Payments,-,-,-
"",,,
"Available for Capital Uses(Operating Surplus/Deficit - Debt Service Payments + CapitalSources + Federal Grants to Amtrak)","553,492","228,139","781,631"
"",,,
Financial Uses (Capital):,,,
Capital Expenditures,"828,703","696,751","1,525,455"
Legacy Debt and RRIF Repayments,"51,449","1,182","52,632"
"",,,
Remaining Carryover Balance,"$           (326,661)","$            (469,795)","$            (796,456)"
"",,,
Transfers,-,-,-
"",,,
