priorYear,currentYearForecast,currentYearActual,growthInDollars,actualVSForecastInDollars
,0,,0,
ticketRevenue,1112400000,480900000,494500000,-617900000
foodBeverage,27300000,10500000,12100000,-15200000
stateSupportedTrainRevenue,241200000,277400000,280500000,39300000
subtotalPassengerRelatedRevenue,1380900000,768800000,787000000,-593900000
otherCoreRevenue,228900000,221600000,221300000,-7600000
ancillaryRevenue,258700000,255200000,253800000,-4900000
totalRevenue,1868400000,1245600000,1262100000,-606400000
salariesWagesBenefits,1472500000,1382300000,1379500000,-92900000
trainOperations,213700000,152800000,153300000,-60400000
fuelPowerUtilities,173600000,129100000,128100000,-45600000
materials,108600000,84100000,82600000,-26100000
facilityCommunicationOffice,123200000,125200000,124000000,800000
advertisingAndSales,44800000,34200000,34600000,-10200000
casualtyAndOtherClaims,51600000,41000000,40400000,-11200000
professionalFeesDataProcessing,155000000,143300000,141500000,-13500000
allOtherExpense,95000000,144200000,143000000,47900000
transferToCapitalAncillary,-129500000,-114100000,-128600000,900000
totalExpense,2308700000,2122199999.9999998,2098300000.0000002,-210300000
adjustedOperatingEarnings,-440200000,-876600000,-836200000,-396000000
opebSAndPension,25100000,26400000,26000000,900000
projectRelatedRevenueExpense,-110200000,-90600000,-100300000,9900000
depreciation,-697000000,-715100000,-710300000,-13400000
officeOfInspectorGeneral,-16399999.999999998,-17500000,-17200000,-800000
stateCapitalPaymentAmortization,98400000,102700000,103700000,5200000
nonOperatingIncOr,49800000,-16000000,-18500000,-68400000
netIncomeOr,-1090500000,-1586700000,-1553000000,-462500000
