"",,,,FY 2021 vs Prior Year,,,,,,FY 2021 vs Jun Forecast
"",,Prior Year,,Actual,,Y/Y Growth,,,Jun Fcst,Actual Fav/(Unfav) vs Jun Fcst
"($s in Millions)",,YTD Jun FY20,,YTD Jun FY21,$,,%,,YTD Jun FY21,YTD Jun FY21 $ %
Ticket Revenue (Adjusted),$,"1,112.4",$,494.5 $,(617.9),,(56%),$,480.9,$494.5 $13.5 3%
Food & Beverage,,27.3,,12.1,(15.2),,(56%),,10.5,12.1 1.6 15%
State Supported Train Revenue,,241.2,,280.5,,39.3,16%,,277.4,280.5 3.1 1%
Subtotal Passenger Related Revenue,,"1,380.9",,787.0,(593.9),,(43%),,768.8,787.0 18.2 2%
Other Core Revenue,,228.9,,221.3,,(7.6),(3%),,221.6,221.3 (0.3) (0%)
Ancillary Revenue,,258.7,,253.8,,(4.9),(2%),,255.2,253.8 (1.4) (1%)
Total Revenue,,"1,868.4",,"1,262.1",(606.4),,(32%),,"1,245.6","1,262.1 16.4 1%"
"Salaries, Wages & Benefits",,"1,472.5",,"1,379.5",(92.9),,(6%),,"1,382.3","1,379.5 2.7 0%"
Train Operations,,213.7,,153.3,(60.4),,(28%),,152.8,153.3 (0.5) (0%)
"Fuel, Power & Utilities",,173.6,,128.1,(45.6),,(26%),,129.1,128.1 1.0 1%
Materials,,108.6,,82.6,(26.1),,(24%),,84.1,82.6 1.5 2%
"Facility, Communication & Office",,123.2,,124.0,,0.8,1%,,125.2,124.0 1.2 1%
Advertising and Sales,,44.8,,34.6,(10.2),,(23%),,34.2,34.6 (0.4) (1%)
Casualty and Other Claims,,51.6,,40.4,(11.2),,(22%),,41.0,40.4 0.6 2%
Professional Fees & Data Processing,,155.0,,141.5,(13.5),,(9%),,143.3,141.5 1.9 1%
All Other Expense,,95.0,,143.0,,47.9,50%,,144.2,143.0 1.3 1%
Transfer to Capital & Ancillary,,(129.5),,(128.6),,0.9,1%,,(114.1),(128.6) 14.5 13%
Total Expense,,"2,308.7",,"2,098.3",(210.3),,(9%),,"2,122.2","2,098.3 23.9 1%"
Adjusted Operating Earnings,$,(440.2),$,(836.2) $,(396.0),,(90%),$,(876.6),$(836.2) $40.3 5%
OPEB's and Pension,,25.1,,26.0,,0.9,3%,,26.4,26.0 (0.4) (2%)
Project Related Revenue & Expense,,(110.2),,(100.3),,9.9,9%,,(90.6),(100.3) (9.8) (11%)
Depreciation,,(697.0),,(710.3),(13.4),,(2%),,(715.1),(710.3) 4.8 1%
Office of Inspector General,,(16.4),,(17.2),,(0.8),(5%),,(17.5),(17.2) 0.3 2%
State Capital Payment Amortization,,98.4,,103.7,,5.2,5%,,102.7,103.7 1.0 1%
Non-Operating Inc/(Exp),,49.8,,(18.5),(68.4),,(137%),,(16.0),(18.5) (2.5) (16%)
Net Income/(Loss),$,"(1,090.5)",$,"(1,553.0) $",(462.5),,(42%),$,"(1,586.7)","$(1,553.0) $33.7 2%"
